fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231010 232806	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1251	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.173771956876735	0.0721728056629945	485	22207	8484	73556447.7761119	1
20231010 233055	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	578	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0901535529573448	0.286634756981221	191	46978	8232	72469233.3833084	2
20231010 233241	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	239	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.20935655126872	0.688111496397469	897	26788	10149	75891092.9535232	3
20231010 233646	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	803	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0751715568394866	0.540614405387896	208	38513	10646	72767095.4522739	4
20231010 233854	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	228	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.236761367399013	0.388391385955038	766	36258	8760	71601079.4602699	5
20231010 234428	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	884	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0658160527463769	0.25614870508638	381	7382	8630	76192498.7506247	6
20231010 234706	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	240	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.158569731018506	0.359389360632922	627	19108	9905	74950217.3913043	7
20231010 234840	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.224073108327575	0.881207500478631	1010	16387	8113	70161363.818091	8
20231010 235228	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	523	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.247783147515147	0.451963423051056	313	30423	8067	72397326.8365817	9
20231010 235722	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	958	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0437820009171264	0.188659208895842	773	12247	8090	75985612.193903	10
20231011 000031	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	303	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.107789059386123	0.603059259114962	56	13754	10996	73764131.934033	11
20231011 000305	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	78	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.289649067966966	0.775043734512874	534	234	9677	61409845.5772114	12
20231011 000429	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	168	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.191370668601012	0.746765713444765	937	45006	8794	68575673.1634183	13
20231011 000903	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	297	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0337270584574435	0.869525095147255	687	3299	9642	77847409.2953523	14
20231011 001137	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	578	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.265728149565984	0.975342347410478	105	41799	8183	71570354.3228386	15
20231011 001527	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2088	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.138740315890172	0.0108621189494443	440	32113	9351	65723209.8950525	16
20231011 002042	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	813	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0315121906739524	0.784253621632852	802	6470	10641	76102485.2573713	17
20231011 002523	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	670	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0437798713052019	0.149338623733065	610	2786	8803	77316791.1044478	18
20231011 002903	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	266	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0440752154175927	0.885519576618951	215	3169	8720	78200879.5602199	19
20231011 003223	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	189	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0591065233806856	0.993300384693435	532	2788	8932	78308583.7081459	20
20231011 003529	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	75	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0440333861953611	0.999913061206816	433	795	8977	77096912.043978	21
20231011 003845	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	254	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0524170801674085	0.829962758002308	464	3832	9338	78488092.9535232	22
20231011 004145	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	170	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0759269966353527	0.703370214305121	322	3391	9112	75709593.2033983	23
20231011 004540	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	380	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0507565250037377	0.97806938452788	927	3181	9036	77828259.870065	24
20231011 004856	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	179	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0479430308857323	0.999874201123217	487	3391	9202	78044710.6446777	25
20231011 005211	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	185	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0552934872920068	0.719242120317824	638	2892	8287	76487131.934033	26
20231011 005458	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	122	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0593141704625467	0.902954601023852	487	3977	9574	75590015.992004	27
20231011 005932	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	796	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0408130213541363	0.833901690777403	96	3036	8707	75540155.4222888	28
20231011 010210	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	170	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0467983248469918	0.868269109584195	669	4764	10052	75957479.2603698	29
20231011 010439	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	84	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.053232113752136	0.999927770630931	248	1667	9930	76622433.7831084	30
20231011 010926	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	483	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0216763959021474	0.886785603380406	339	400	8582	78269368.3158421	31
20231011 011327	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	542	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.061565334345058	0.814954815159595	698	3884	10070	77448230.8845577	32
20231011 011654	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	617	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0532705609883954	0.999832224715476	714	21530	9380	74928825.5872064	33
20231011 012141	154	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	440	1	1	1	FALSE	1	0.1	50	0.5	TRUE	555521	0.0318668317898057	0.886819978674897	393	3151	9472	78887404.2978511	34
