Feature	Gain	Cover	Frequency
ctrx_quarter	0.128596806423797	0.0186275654089648	0.00798984304883655
mcaja_ahorro	0.095835978922847	0.0143426009325797	0.00882166232515378
mpayroll	0.055483739012814	0.0392806726805696	0.00711424381060789
ctarjeta_visa_transacciones	0.0475891165155278	0.00990980236313252	0.00608541470568921
mprestamos_personales	0.0468799917776956	0.0182029229315202	0.00536304533415056
mpasivos_margen	0.0389821198726256	0.0139166897828767	0.0109887704397697
mtarjeta_visa_consumo	0.0314493197744555	0.00906771745754069	0.00879977234419806
mcuentas_saldo	0.0258490300366636	0.0232189789710889	0.0134185583258543
Visa_msaldopesos	0.0249654293142243	0.0101288812342457	0.0146662872403301
cpayroll_trx	0.0222823600299783	0.00252695308461599	0.000175119847645733
mautoservicio	0.020388614771251	0.012391160647419	0.0144036074688615
mcuenta_corriente	0.0158388834092549	0.02287663518564	0.0134842282687214
Master_fechaalta	0.0153103842305359	0.0234688074883609	0.0377164371866996
cdescubierto_preacordado	0.0152676478796945	0.015157789001192	0.0113609001160169
mrentabilidad_annual	0.0151680137164886	0.0197053725050963	0.017993564345599
Master_status	0.0148110807382839	0.00717343532576388	0.00492524571503623
Visa_mpagominimo	0.0139371802033224	0.0132240471514042	0.0215178512794694
Visa_status	0.0138906107448797	0.0100179709219685	0.00420287634349758
Visa_msaldototal	0.013384155441059	0.00915391751023316	0.01405336777357
cmobile_app_trx	0.0133353620247649	0.0181613459451646	0.0565199308276602
foto_mes	0.0131476824392958	0.0187670247171025	0.00547249523892914
thomebanking	0.0126016825416193	0.0128431362218543	0.0334916708622464
Master_Fvencimiento	0.0124967434404259	0.0203421168598785	0.0355712190530394
mactivos_margen	0.0116831240919859	0.0227978835689932	0.0124553991638027
Visa_fechaalta	0.0112232208623644	0.015604752511015	0.024407328765624
active_quarter	0.0107182182226868	0.00445990403722227	0.00682967405818357
tcallcenter	0.0106030569366934	0.0120867236350704	0.0100693912396296
mcomisiones	0.0105301255172859	0.01237860761742	0.017687104612219
Visa_Fvencimiento	0.0103575920141775	0.015548347257973	0.0251296981371626
mcomisiones_otras	0.010224811200012	0.0135505325336242	0.0181905741742005
Visa_mpagospesos	0.0096800317954472	0.0105637142529998	0.0253923779086312
Master_mlimitecompra	0.00808200568319322	0.015038627041897	0.023706849375041
mrentabilidad	0.00789653221718238	0.011200801634807	0.0137031280782786
Visa_mconsumospesos	0.00780386050778467	0.0123819520429573	0.0271435763850885
numero_de_cliente	0.00757016998879438	0.0130651981967052	0.017840334478909
Master_mfinanciacion_limite	0.00756553152310815	0.0142480331314147	0.0226999102510781
Visa_mconsumototal	0.00750494388443011	0.0116320847636314	0.0261366372611256
cliente_edad	0.00738252485715566	0.0156041466725156	0.0138563579449686
mtransferencias_recibidas	0.00692334455255194	0.0150670205321728	0.0181030142503776
mcuenta_debitos_automaticos	0.00660668066267406	0.0132979580410399	0.0102226211063196
Visa_mfinanciacion_limite	0.00624572867201246	0.0119063779683206	0.0147100672022415
Visa_cconsumos	0.00603177546831665	0.00954242499313902	0.0170741851454589
Master_msaldopesos	0.00596251374969155	0.00604272607411569	0.0103977409539654
ccajas_transacciones	0.00576062891555115	0.00862608335630588	0.00514414552459339
Visa_mlimitecompra	0.00571538944626414	0.011120232502662	0.0136374581354114
chomebanking_transacciones	0.00563081067145992	0.0175961510467962	0.0152573167261345
cliente_antiguedad	0.00555948647601655	0.011138729927136	0.0143817174879058
mextraccion_autoservicio	0.00507795615022791	0.00554127544800957	0.00794606308692512
Master_mpagominimo	0.00469125971683933	0.0106906127910415	0.0116892498303526
mtransferencias_emitidas	0.00466399736222485	0.0163739176112062	0.0168771753168575
Visa_mconsumosdolares	0.0045003526659883	0.0082821510918647	0.016220475888186
Master_fultimo_cierre	0.00432929835021371	0.00927768271629134	0.0109012105159469
mttarjeta_visa_debitos_automaticos	0.00410686770254396	0.0108498339740404	0.0144692774117287
mcomisiones_mantenimiento	0.00371897221784295	0.0102216684612844	0.00164174857167874
Master_mpagospesos	0.00368003103826022	0.0112115308165012	0.0129807587067399
mpagomiscuentas	0.00334339657466955	0.0144894766609074	0.0104196309349211
Master_msaldototal	0.00331299352544927	0.00637636823145451	0.00991616137293961
ccaja_seguridad	0.00328209471871476	0.0102222264519116	0.000656699428671497
mcaja_ahorro_dolares	0.00315369165302866	0.00991667416195375	0.010966880458814
Master_mconsumospesos	0.00305670937057378	0.00767464706433162	0.0109012105159469
Master_mconsumototal	0.00290105585712543	0.00650053381161973	0.0103101810301425
Visa_fultimo_cierre	0.00248677446137744	0.00415735842311567	0.00551627520084058
mplazo_fijo_dolares	0.0023450877888052	0.0160990759150998	0.00205765820983736
tmobile_app	0.00231814484649859	0.00904100673471115	0.00207954819079307
Master_cconsumos	0.00229778692330075	0.00564295604646964	0.0080555129917037
cproductos	0.00224230192583742	0.00457491413813677	0.000547249523892914
Visa_mpagosdolares	0.00222876436835612	0.0039449068341239	0.00733314362016505
Visa_mpagado	0.00197827014295627	0.00502178969231232	0.00531926537223913
ctarjeta_visa	0.00166464439481973	0.0027995403015679	0.000591029485804347
Master_madelantopesos	0.00160262822851298	0.00106743466254312	0.00385263664820612
Master_madelantodolares	0.00157982077391243	0.00167537530190996	0.00630431451524637
ccaja_ahorro	0.00153352876133606	0.00920000380672042	0.000591029485804347
Master_mpagosdolares	0.00150981774215143	0.0034754854329352	0.00698290392487359
matm	0.00149906131369547	0.00250073174700867	0.00459689600070048
