Feature	Gain	Cover	Frequency
ctrx_quarter	0.133506505740262	0.0195765850057455	0.00797240806450157
mpasivos_margen	0.0644877471233272	0.0136275995221468	0.00956147241257889
mpayroll	0.0592905948057569	0.02702448437044	0.00540823604828589
mprestamos_personales	0.0493490179723104	0.0136343243495416	0.00384625802432352
mcuentas_saldo	0.0384708093441016	0.0180748899421344	0.0131007520969329
mcaja_ahorro	0.0337827769331162	0.0127142087152612	0.0084870482226857
active_quarter	0.0257873947929583	0.00407136001733463	0.00661809185875385
mautoservicio	0.0231804157244113	0.0090494338457042	0.010699098025407
mtarjeta_visa_consumo	0.0217262172276148	0.0102176443867446	0.00886625676029506
mcuenta_corriente	0.0216893201151719	0.021403051219034	0.0143738093303358
Visa_msaldopesos	0.0200999321026223	0.00964704331575725	0.0145182697256155
Visa_mpagospesos	0.0173936326590982	0.0132177516396917	0.0295240932853003
mrentabilidad_annual	0.0167062873901728	0.0228929788836416	0.0187437362875484
Master_fechaalta	0.0165924553751947	0.0256034302932518	0.0376590192944915
Visa_status	0.0164925009964743	0.0116102533203651	0.00392751699666838
Visa_msaldototal	0.01593258725225	0.0109724947234974	0.0145092409509106
mcomisiones_mantenimiento	0.0155252460420186	0.0120422743003017	0.00453244490190236
cmobile_app_trx	0.0151873116003543	0.0177998109716557	0.0586509204835812
cdescubierto_preacordado	0.0148701571708222	0.0108392451523485	0.00991359462607329
Visa_mpagominimo	0.0140429584444275	0.0152970712191696	0.0219218649837031
Master_Fvencimiento	0.0133322966321986	0.0204135167896584	0.0346253509936167
thomebanking	0.0128947132550476	0.0130431165142945	0.0354379407170653
Visa_fechaalta	0.0122572844077322	0.0166821499812515	0.0252173677510225
ctarjeta_visa_transacciones	0.0120361308920495	0.00750684173296327	0.00541726482299087
Master_status	0.0112771032868969	0.0095560822241458	0.00264543098856054
Visa_Fvencimiento	0.0108073792732015	0.0184838470070348	0.0255604611898119
mcomisiones_otras	0.0105705095656497	0.0118936417928795	0.0189423693310581
ctarjeta_master	0.0104550876773661	0.00162865712433995	0.00306978339969483
mactivos_margen	0.0104257203979309	0.015933103564821	0.0116290618200204
tcallcenter	0.010032992872102	0.0127406932450342	0.0104192060095524
mcomisiones	0.00986468549508329	0.0124313052713872	0.019592441109817
Master_mfinanciacion_limite	0.00901147076560419	0.0152088245377174	0.0236644185017651
Visa_mconsumospesos	0.0086991071548937	0.0131822644700683	0.027321072257284
Visa_mconsumototal	0.00851336110055717	0.0131694536481073	0.0264001372373755
mtransferencias_recibidas	0.00813657875988577	0.0124735637812854	0.0158996722554782
mrentabilidad	0.00803498798843166	0.0111971652404012	0.0135702483815921
Master_mlimitecompra	0.00790399120397168	0.013574720491397	0.0209286997661547
cliente_edad	0.00748489849342891	0.0158320278398671	0.0150870825320296
foto_mes	0.0069330327737219	0.0100452397217732	0.00452341612719738
chomebanking_transacciones	0.00690998231935776	0.0151069333988209	0.0169289525718465
Visa_mlimitecompra	0.00683260451854766	0.0127879321095702	0.0146446725714853
numero_de_cliente	0.00665811835112091	0.0134182380963255	0.0163330534413175
Visa_cconsumos	0.00644235992430926	0.0106908478466546	0.0184548154969889
cpayroll_trx	0.00641201815602889	0.00343545318453214	0.000279892015854528
cliente_antiguedad	0.00631304633373016	0.0165058238489335	0.0155565788166888
Visa_mfinanciacion_limite	0.00626403360729588	0.0125722524844184	0.0140307158915464
mtransferencias_emitidas	0.00578662665289415	0.0178585425934218	0.016621974231877
Visa_mconsumosdolares	0.00569666136987499	0.00863132009700803	0.0162969383424975
Master_mpagominimo	0.00533100155077918	0.0116547952770112	0.0115387740729706
mcuenta_debitos_automaticos	0.0052704537421444	0.0121271428040264	0.00786406276804175
ccajas_transacciones	0.00520250512163958	0.0100818875555825	0.00424352411134285
matm	0.00495884612558069	0.00330823278551358	0.00387334434843847
mttarjeta_visa_debitos_automaticos	0.00489111636198406	0.0102356382779827	0.0142022626109411
Master_msaldototal	0.00432999034209016	0.00664091983756398	0.00987747952725336
Master_fultimo_cierre	0.00427520453721638	0.00765494209947229	0.0108977310689166
mcaja_ahorro_dolares	0.00426304328611464	0.0127682093297875	0.0111324792112462
Master_msaldopesos	0.00423986992713713	0.0069074158630192	0.010094170120173
Master_mpagospesos	0.00418941684473093	0.0109115272467704	0.0122430184999594
ccaja_seguridad	0.00390154245537887	0.0101631624598132	0.000785503399333676
cproductos	0.00345687735402148	0.00643264499098048	0.000632014229348935
Visa_madelantodolares	0.00343556044884336	0.00141993393195442	0.00236553897270601
mpagomiscuentas	0.00339084452344476	0.0106618746380447	0.00940798324259415
Master_mconsumospesos	0.00329658717884389	0.0069796718239157	0.0106358966024721
Master_mconsumototal	0.00323618426518441	0.00690578263756283	0.00992262340077828
cseguro_accidentes_personales	0.00284577756317734	0.00686362818225181	0.00693409897342832
mextraccion_autoservicio	0.00277071928848536	0.00567289653627981	0.00568812806414042
tmobile_app	0.00276478503963374	0.00530641819818636	0.00132722988163276
Master_cconsumos	0.0026345627847966	0.00602074274969934	0.00824327130565111
Visa_fultimo_cierre	0.0025649055432504	0.00589995683221125	0.00582355968471519
ctarjeta_debito_transacciones	0.00254812658970067	0.00295618758588879	0.00325938766849951
Master_madelantodolares	0.00233878288512654	0.00160982552174768	0.00623888332114449
Master_mpagosdolares	0.00208335102502267	0.00288071516343768	0.00705147304459312
Visa_mpagosdolares	0.00206130121733571	0.00372180457545378	0.00636528616701428
mplazo_fijo_dolares	0.00201519334616747	0.0120916658240803	0.0015439204745524
Visa_mpagado	0.00198887700546404	0.00519222068629553	0.00514640158184133
Master_mconsumosdolares	0.00189436838731584	0.0022592897801622	0.00703341549518315
cextraccion_autoservicio	0.00172522455000132	0.00115769982894673	0.000180575494099696
internet	0.00162037063158879	0.00755496146513385	0.00102025154166328
mtarjeta_master_consumo	0.00160321251849826	0.00327411414949334	0.00258222956562565
ctarjeta_visa	0.00142174836936366	0.00101577980142798	0.000180575494099696
ccaja_ahorro	0.0012803540436869	0.0069082047838008	0.000604927905233981
Visa_delinquency	0.00113274563306496	0.00260077391869949	0.00213079083037641
Master_mpagado	0.00102106880884134	0.0035458691273521	0.00277183383443033
mprestamos_prendarios	0.000943963435618343	0.00814640390271642	0.00064104300405392
Visa_msaldodolares	0.000940028246449435	0.00378885744735416	0.00241068284623094
cprestamos_personales	0.000832935320144003	0.00568887203225888	0.000523668932889118
ccomisiones_mantenimiento	0.000787013019191776	0.00532233759100089	0.000478525059364194
minversion2	0.000744629931260402	0.00712944773301162	0.00064104300405392
ccajas_consultas	0.00071965054930112	0.00437061957160525	0.000343093438789422
Visa_madelantopesos	0.00068823404526714	0.000702157117765808	0.00205856063273653
ccomisiones_otras	0.000610394042990185	0.000469412660190239	0.000180575494099696
Master_delinquency	0.000605999945127364	0.00144367312290056	0.00137237375515769
cseguro_vida	0.0005894459617606	0.00313843823635703	0.000704244426988813
Master_madelantopesos	0.000527085931649409	0.000669830905925226	0.00241971162093592
Visa_cadelantosefectivo	0.00049920835539069	0.000731944301775642	0.000911906245203463
Visa_Finiciomora	0.000484515622543923	0.00559544647727894	0.000722301976398783
mcheques_emitidos	0.00047900002250961	0.00528130328092361	0.000442409960544255
Master_msaldodolares	0.000451021556144687	0.000827268013822247	0.00113762561282808
Master_Finiciomora	0.00037707876356298	0.00918412603540428	0.000749388300513737
Master_cadelantosefectivo	0.000348880146715341	0.00045203350619086	0.00148974782632249
matm_other	0.000328965054220345	0.00195701480067653	0.000902877470498479
mttarjeta_master_debitos_automaticos	0.00027854968707789	0.00393280270320967	0.000920935019908448
mtarjeta_visa_descuentos	0.00027208069338201	0.00346250210255001	0.000568812806414042
cseguro_auto	0.000264159226361388	0.00541545469845446	0.00043338118583927
minversion1_pesos	0.000245723765003585	0.00376669561845697	0.000306978339969483
mcaja_ahorro_adicional	0.000219825549402821	0.00426704749558686	0.000397266087019331
ccajas_extracciones	0.000218422132598237	0.00501372523161568	0.000388237312314346
mcheques_depositados	0.00019829399138574	0.00289344938300089	0.000252805691739574
ccajas_depositos	0.000176256902189944	0.00444729041998762	0.000343093438789422
cplazo_fijo	0.00015317558395183	0.00175457192599757	0.000135431620574772
ctransferencias_emitidas	0.000116929152803641	0.00386881476636825	0.000361150988199391
